"geneName","diseaseName"
"MIR875","Cholestasis"
"NR1H3","Cholestasis"
"SLC51B","Cholestasis"
"ABCC2","Cholestasis"
"MAPK14","Cholestasis"
"CYP7A1","Cholestasis"
"CYP8B1","Cholestasis"
"CYP27A1","Cholestasis"
"NQO1","Cholestasis"
"EGR1","Cholestasis"
"SLC51A","Cholestasis"
"FGA","Cholestasis"
"CXCL2","Cholestasis"
"ICAM1","Cholestasis"
"IGF1","Cholestasis"
"IL6","Cholestasis"
"CXCL8","Cholestasis"
"MIRLET7B","Cholestasis"
"MIRLET7I","Cholestasis"
"MIR130B","Cholestasis"
"MIR185","Cholestasis"
"MIR190A","Cholestasis"
"MIR218-1","Cholestasis"
"MIR24-1","Cholestasis"
"MIR27B","Cholestasis"
"MIR99A","Cholestasis"
"MIR337","Cholestasis"
"NFE2L2","Cholestasis"
"NOS2","Cholestasis"
"MIR361","Cholestasis"
"MIR377","Cholestasis"
"SERPINE1","Cholestasis"
"PDYN","Cholestasis"
"SERPINA1","Cholestasis"
"POMC","Cholestasis"
"MAPK13","Cholestasis"
"RDX","Cholestasis"
"RELA","Cholestasis"
"CCL7","Cholestasis"
"BLVRA","Cholestasis"
"SNAI1","Cholestasis"
"MIR411","Cholestasis"
"TNF","Cholestasis"
"NR1H2","Cholestasis"
"VCAM1","Cholestasis"
"HSD3B7","Cholestasis"
"ABCB11","Cholestasis"
"ABCC3","Cholestasis"
"F2RL3","Cholestasis"
"CYP7B1","Cholestasis"
"SLC23A2","Cholestasis"
"SLC23A1","Cholestasis"
"NR1H4","Cholestasis"
"IL12A-AS1","Primary biliary cirrhosis"
"C6orf10","Primary biliary cirrhosis"
"IKZF3","Primary biliary cirrhosis"
"PLCL2","Primary biliary cirrhosis"
"CLEC16A","Primary biliary cirrhosis"
"TNPO3","Primary biliary cirrhosis"
"IL12A","Primary biliary cirrhosis"
"IL12RB1","Primary biliary cirrhosis"
"IL12RB2","Primary biliary cirrhosis"
"IRF5","Primary biliary cirrhosis"
"NAB1","Primary biliary cirrhosis"
"TIMMDC1","Primary biliary cirrhosis"
"POU2AF1","Primary biliary cirrhosis"
"RAD51B","Primary biliary cirrhosis"
"SPIB","Primary biliary cirrhosis"
"STAT4","Primary biliary cirrhosis"
"TNFRSF1A","Primary biliary cirrhosis"
"LINC01100","Primary biliary cirrhosis"
"MMEL1","Primary biliary cirrhosis"
"FBXL20","Primary biliary cirrhosis"
"RPS6KA4","Primary biliary cirrhosis"
"ELMO1","Primary biliary cirrhosis"
"TNFSF15","Primary biliary cirrhosis"
"ASPG","Cholelithiasis"
"ABCG5","Cholelithiasis"
"ABCG8","Cholelithiasis"
"ABCB4","Cholecystitis"
"CDH13","Barrett Esophagus"
"CYP26A1","Barrett Esophagus"
"CRTC1","Barrett Esophagus"
"GAST","Barrett Esophagus"
"HGF","Barrett Esophagus"
"CXCL8","Barrett Esophagus"
"MCL1","Barrett Esophagus"
"PPARG","Barrett Esophagus"
"RPRM","Barrett Esophagus"
"PTGS2","Barrett Esophagus"
"RELA","Barrett Esophagus"
"SLC9A1","Barrett Esophagus"
"SST","Barrett Esophagus"
"OR5V1","Barrett Esophagus"
"ALDH1A2","Barrett Esophagus"
"NR1I2","Barrett Esophagus"
"DMD","Gastrointestinal Stromal Tumors"
"KIT","Gastrointestinal Stromal Tumors"
"MTHFR","Gastrointestinal Stromal Tumors"
"MTRR","Gastrointestinal Stromal Tumors"
"PDGFRA","Gastrointestinal Stromal Tumors"
"SDHA","Gastrointestinal Stromal Tumors"
"SDHB","Gastrointestinal Stromal Tumors"
"SDHC","Gastrointestinal Stromal Tumors"
"CYP26A1","Adenomatous Polyposis Coli"
"AKT1","Adenomatous Polyposis Coli"
"FMO3","Adenomatous Polyposis Coli"
"GREM1","Adenomatous Polyposis Coli"
"APC","Adenomatous Polyposis Coli"
"MCC","Adenomatous Polyposis Coli"
"MUTYH","Adenomatous Polyposis Coli"
"NTHL1","Adenomatous Polyposis Coli"
"PTGS2","Adenomatous Polyposis Coli"
"SOD2","Adenomatous Polyposis Coli"
"CHEK2","Malignant neoplasm of stomach"
"ZBTB20","Malignant neoplasm of stomach"
"MUC1","Malignant neoplasm of stomach"
"PLCE1","Malignant neoplasm of stomach"
"PRKAA1","Malignant neoplasm of stomach"
"NAT2","Liver neoplasms"
"TNK2","Liver neoplasms"
"CDKN1B","Liver neoplasms"
"CDKN2A","Liver neoplasms"
"NDRG1","Liver neoplasms"
"FST","Liver neoplasms"
"YIF1A","Liver neoplasms"
"CHN2","Liver neoplasms"
"CIDEA","Liver neoplasms"
"WDR17","Liver neoplasms"
"DCD","Liver neoplasms"
"TMEM132D","Liver neoplasms"
"BTBD11","Liver neoplasms"
"CCR4","Liver neoplasms"
"SNHG11","Liver neoplasms"
"PQLC3","Liver neoplasms"
"CPT1B","Liver neoplasms"
"CRABP1","Liver neoplasms"
"MAPK14","Liver neoplasms"
"CSF2","Liver neoplasms"
"CSF3","Liver neoplasms"
"CTNNB1","Liver neoplasms"
"SLC38A9","Liver neoplasms"
"CYP2E1","Liver neoplasms"
"LINGO2","Liver neoplasms"
"TTLL9","Liver neoplasms"
"PRICKLE2","Liver neoplasms"
"DACT2","Liver neoplasms"
"ADAMTS17","Liver neoplasms"
"HIGD2A","Liver neoplasms"
"EFNB2","Liver neoplasms"
"AHR","Liver neoplasms"
"FLCN","Liver neoplasms"
"ESR1","Liver neoplasms"
"FHIT","Liver neoplasms"
"TTC39A","Liver neoplasms"
"WSCD1","Liver neoplasms"
"NUDCD3","Liver neoplasms"
"EXOSC2","Liver neoplasms"
"HEBP2","Liver neoplasms"
"ABL1","Liver neoplasms"
"GJB1","Liver neoplasms"
"GNMT","Liver neoplasms"
"NUDT7","Liver neoplasms"
"GPX3","Liver neoplasms"
"GSTM1","Liver neoplasms"
"SLC40A1","Liver neoplasms"
"ANXA2","Liver neoplasms"
"HCFC1","Liver neoplasms"
"ANXA4","Liver neoplasms"
"HGF","Liver neoplasms"
"ANXA7","Liver neoplasms"
"HMOX1","Liver neoplasms"
"APCS","Liver neoplasms"
"HRAS","Liver neoplasms"
"GADL1","Liver neoplasms"
"ZSCAN22","Liver neoplasms"
"IFNA1","Liver neoplasms"
"IGF2","Liver neoplasms"
"IL2","Liver neoplasms"
"IL12A","Liver neoplasms"
"IL12B","Liver neoplasms"
"ITIH1","Liver neoplasms"
"JUN","Liver neoplasms"
"SPATA21","Liver neoplasms"
"KRAS","Liver neoplasms"
"KRT8","Liver neoplasms"
"KRT18","Liver neoplasms"
"LTF","Liver neoplasms"
