disease,diseaseClass,genes
Carcinoma-Renal Cell, Urogenital,HNF1B
Hereditary prostate cancer, Male Urogenital ,HNF1B
Prostatic Neoplasms, Male Urogenital ,HNF1B
Carcinoma,Neoplasms,HNF1B
Neoplasms,Neoplasms,HNF1B
Thyroid Neoplasms, Endocrine System ,HNF1B
Recurrence,Pathological Conditions,HNF1B
Ovarian Neoplasms, Female Urogenital,HNF1B
Hyperuricemia,Pathological Conditions,HNF1B
Gout,Musculoskeletal ,HNF1B
Cysts, Pathological Conditions,HNF1B
Diabetic Nephropathies,Urogenital,HNF1B
Polycystic Kidney-Autosomal Dominant,Urogenital,HNF1B
Polycystic Kidney-Autosomal Recessive,Urogenital,HNF1B
PINEAL HYPERPLASIA-INSULIN-RESISTANT DIABETES MELLITUS-AND SOMATIC ABNORMALITIES,Musculoskeletal ,INSR
Donohue Syndrome,Musculoskeletal ,INSR
DIABETES MELLITUS-INSULIN-RESISTANT-WITH ACANTHOSIS NIGRICANS,Nutritional and Metabolic,INSR
HYPERINSULINEMIC HYPOGLYCEMIA-FAMILIAL-5,Nutritional and Metabolic ,INSR
Diabetes Mellitus-Experimental,Nutritional and Metabolic,INSR
Diabetic Neuropathies,Nervous System ,INSR
Glucose Intolerance,Nutritional and Metabolic ,INSR
Hyperalgesia,Nervous System,INSR
Hyperglycemia,Nutritional and Metabolic ,INSR
Hyperinsulinism,Nutritional and Metabolic ,INSR
Insulin Resistance,Nutritional and Metabolic ,INSR
Substance-Related Disorders,Substance-Related Disorders; Mental Disorders,INSR
Polycystic Ovary Syndrome, Female Urogenital,INSR
Diabetes Mellitus-Type 1,Nutritional and Metabolic,INSR
Chromosome Deletion,Pathological Conditions,INSR
Migraine Disorders,Nervous System ,INSR
Myocardial Infarction,Cardiovascular ,INSR
Hypertension,Cardiovascular ,INSR
Obesity,Nutritional and Metabolic,INSR
Syndrome,Pathological Conditions,INSR
Hyperlipidemias,Nutritional and Metabolic ,INSR
Endocrine System Diseases,Endocrine System ,INSR
Developmental Disabilities,Mental Disorders,INSR
Diabetes Mellitus,Nutritional and Metabolic,INSR
Pregnancy in Diabetics,Female Urogenital,INSR
Hyperandrogenism,Congenital,INSR
Thinness,Pathological Conditions,INSR
Prostatic Neoplasms, Male Urogenital ,INSR
Colorectal Neoplasms, Digestive System ,INSR
Neoplasms,Neoplasms,INSR
Ovarian Neoplasms, Female Urogenital,INSR
Migraine with Aura,Nervous System ,INSR
Choriocarcinoma, Female Urogenital,INSR
Hyperprolactinemia,Nervous System ; Endocrine System ,INSR
Myotonic Dystrophy,Musculoskeletal ; Nervous System ; Congenital-Hereditary-and Neonatal  and Abnormalities,INSR
Carcinoma-Hepatocellular, Digestive System ,IRS1
Coronary Artery Disease,Cardiovascular ,IRS1
Diabetes Mellitus,Nutritional and Metabolic ; Endocrine System ,IRS1
Hyperinsulinism,Nutritional and Metabolic ,IRS1
Hyperlipidemias,Nutritional and Metabolic ,IRS1
Insulin Resistance,Nutritional and Metabolic ,IRS1
Precancerous Conditions,Neoplasms,IRS1
Prostatic Neoplasms, Male Urogenital ,IRS1
Colorectal Neoplasms, Digestive System ,IRS1
Polycystic Ovary Syndrome, Female Urogenital; Endocrine System ,IRS1
Hyperandrogenism,Urogenital; Congenital-Hereditary-and Neonatal  and Abnormalities; Endocrine System ,IRS1
Obesity,Nutritional and Metabolic ; Pathological Conditions,IRS1
Diabetes Mellitus-Type 1,Nutritional and Metabolic ; Endocrine System ; Immune System ,IRS1
Coronary Disease,Cardiovascular ,IRS1
Puberty-Precocious,Endocrine System ,IRS1
Breast Neoplasms, Skin and Connective Tissue ,IRS1
Sleep Apnea-Obstructive,Respiratory Tract ; Nervous System ,IRS1
Diabetes-Gestational,Female Urogenital; Nutritional and Metabolic ; Endocrine System ,IRS1
Neoplasms,Neoplasms,IRS1
Hyperplasia,Pathological Conditions,IRS1
Pancreatic Neoplasms, Digestive System ; Endocrine System ,IRS1
Colonic Neoplasms, Digestive System ,IRS1
Cardiovascular Diseases,Cardiovascular ,IRS1
Hepatitis C,Virus ; Digestive System ,IRS1
Tuberous Sclerosis, Nervous System ; Congenital-Hereditary-and Neonatal  and Abnormalities,IRS1
Neuroblastoma,Neoplasms,MAPK8IP1
Alzheimer Disease,Nervous System ; Mental Disorders,MAPK8IP1
Prostatic Neoplasms, Male Urogenital ,MAPK8IP1
Testicular Neoplasms, Male Urogenital ; Endocrine System ,MAPK8IP1
LIPODYSTROPHY-FAMILIAL PARTIAL-TYPE 3,Skin and Connective Tissue ; Nutritional and Metabolic ,PPP1R3A
Polycystic Ovary Syndrome, Female Urogenital; Endocrine System ,PPP1R3A
Insulin Resistance,Nutritional and Metabolic ,PPP1R3A
Neoplasm Metastasis, Pathological Conditions,PPP1R3A
Colorectal Neoplasms, Digestive System ,PPP1R3A
Carcinoma,Neoplasms,SLC2A4
Polycystic Ovary Syndrome, Female Urogenital; Endocrine System ,SLC2A4
Pulmonary Disease-Chronic Obstructive,Respiratory Tract ,SLC2A4
Glucose Intolerance,Nutritional and Metabolic ,SLC2A4
Hyperthyroidism,Endocrine System ,SLC2A4
Liver Cirrhosis,Digestive System ,SLC2A4
Hyperlipidemias,Nutritional and Metabolic ,SLC2A4
Hypoglycemia,Nutritional and Metabolic ,SLC2A4
Glycogen Storage Disease Type V,Congenital-Hereditary-and Neonatal  and Abnormalities; Nutritional and Metabolic ,SLC2A4
HYPERINSULINEMIC HYPOGLYCEMIA-FAMILIAL-1,Congenital-Hereditary-and Neonatal  and Abnormalities; Nutritional and Metabolic ,ABCC8
DIABETES MELLITUS-PERMANENT NEONATAL,Nutritional and Metabolic ; Endocrine System ,ABCC8
DIABETES MELLITUS-TRANSIENT NEONATAL-2,Nutritional and Metabolic ; Endocrine System ,ABCC8
HYPOGLYCEMIA-LEUCINE-INDUCED,Nutritional and Metabolic ,ABCC8
Diabetes Mellitus-Type 1,Nutritional and Metabolic ; Endocrine System ; Immune System ,ABCC8
Persistent Hyperinsulinemia Hypoglycemia of Infancy,Congenital-Hereditary-and Neonatal  and Abnormalities; Nutritional and Metabolic ,ABCC8
Hyperinsulinism,Nutritional and Metabolic ,ABCC8
Diabetes Mellitus,Nutritional and Metabolic ; Endocrine System ,ABCC8
Hypoglycemia,Nutritional and Metabolic ,ABCC8
Diabetes Complications,Endocrine System ,ABCC8
Carcinoma,Neoplasms,ADAMTS9
Prostatic Neoplasms, Male Urogenital ,ADAMTS9
Esophageal Neoplasms, Digestive System ,ADAMTS9
Hypertension,Cardiovascular ,ADCY5
ADIPONECTIN-SERUM LEVEL OF-QUANTITATIVE TRAIT LOCUS 1,Unclassified,ADIPOQ
ADIPONECTIN-SERUM LEVEL OF-QUANTITATIVE TRAIT LOCUS 2,Nutritional and Metabolic ; Pathological Conditions,ADIPOQ
