#pathway ID	pathway description	observed gene count	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
05200	Pathways in cancer	90	3.07e-44	ENSP00000168712,ENSP00000216225,ENSP00000216797,ENSP00000219070,ENSP00000221930,ENSP00000222390,ENSP00000222399,ENSP00000225512,ENSP00000226574,ENSP00000227507,ENSP00000228872,ENSP00000233607,ENSP00000244741,ENSP00000251849,ENSP00000254066,ENSP00000255465,ENSP00000257290,ENSP00000257904,ENSP00000258743,ENSP00000261769,ENSP00000262160,ENSP00000262320,ENSP00000262643,ENSP00000263967,ENSP00000264498,ENSP00000264657,ENSP00000265165,ENSP00000265171,ENSP00000265734,ENSP00000267163,ENSP00000267843,ENSP00000268035,ENSP00000269305,ENSP00000270202,ENSP00000274255,ENSP00000275493,ENSP00000287820,ENSP00000288135,ENSP00000288602,ENSP00000294312,ENSP00000295400,ENSP00000296575,ENSP00000301633,ENSP00000302564,ENSP00000302665,ENSP00000305355,ENSP00000306245,ENSP00000309845,ENSP00000311032,ENSP00000311113,ENSP00000314458,ENSP00000317272,ENSP00000318822,ENSP00000324806,ENSP00000327251,ENSP00000329623,ENSP00000330382,ENSP00000334122,ENSP00000335153,ENSP00000339007,ENSP00000341189,ENSP00000344456,ENSP00000345571,ENSP00000346839,ENSP00000348461,ENSP00000349547,ENSP00000351273,ENSP00000351407,ENSP00000353483,ENSP00000354394,ENSP00000354558,ENSP00000356438,ENSP00000356694,ENSP00000360266,ENSP00000361125,ENSP00000361405,ENSP00000361423,ENSP00000363822,ENSP00000368880,ENSP00000376436,ENSP00000381607,ENSP00000384273,ENSP00000384675,ENSP00000394932,ENSP00000400175,ENSP00000410294,ENSP00000416293,ENSP00000427514,ENSP00000444856,ENSP00000444972	ABL1,AKT1,APC2,AR,ARNT,AXIN1,BCL2,BCL2L1,BID,BIRC5,BRAF,CASP3,CASP8,CCNA1,CCND1,CCNE1,CDC42,CDH1,CDK4,CDK6,CDKN1A,CDKN1B,CDKN2A,CEBPA,CTNNB1,CUL2,E2F1,EGF,EGFR,ETS1,FASLG,FGF19,FGF2,FGF3,FGF4,FGF7,FGFR2,FN1,FOS,FOXO1,GRB2,GSK3B,GSTP1,HGF,HHIP,HRAS,HSP90AA1,IGF1,IGF1R,IL6,JUN,JUP,KIT,LAMB1,LEF1,MAPK8,MET,MMP2,MMP9,MTOR,NFKB1,NFKBIA,NOS2,PDGFB,PDGFRA,PIK3CA,PPARG,PRKCB,PTGS2,PTK2,RAC1,RAF1,RARA,RASSF1,RB1,RBX1,RELA,RHOA,SKP2,SLC2A1,SMAD2,SOS1,STAT1,STAT3,TCF7L2,TGFA,TGFB1,TP53,VEGFA,WNT3
04151	PI3K-Akt signaling pathway	80	1.2e-33	ENSP00000168712,ENSP00000219476,ENSP00000222005,ENSP00000222390,ENSP00000222399,ENSP00000225474,ENSP00000225577,ENSP00000225964,ENSP00000226574,ENSP00000226730,ENSP00000227507,ENSP00000228872,ENSP00000231449,ENSP00000244741,ENSP00000250971,ENSP00000251849,ENSP00000252723,ENSP00000257290,ENSP00000257904,ENSP00000258743,ENSP00000260356,ENSP00000262643,ENSP00000263967,ENSP00000264498,ENSP00000265171,ENSP00000265734,ENSP00000267843,ENSP00000268035,ENSP00000269305,ENSP00000270202,ENSP00000275493,ENSP00000276927,ENSP00000282397,ENSP00000283249,ENSP00000288135,ENSP00000294312,ENSP00000297494,ENSP00000298552,ENSP00000300873,ENSP00000302564,ENSP00000302665,ENSP00000303830,ENSP00000304408,ENSP00000304895,ENSP00000306157,ENSP00000307272,ENSP00000309845,ENSP00000317272,ENSP00000319814,ENSP00000321326,ENSP00000324806,ENSP00000329623,ENSP00000330382,ENSP00000334122,ENSP00000335153,ENSP00000339007,ENSP00000340691,ENSP00000341189,ENSP00000343957,ENSP00000346148,ENSP00000346839,ENSP00000348461,ENSP00000354558,ENSP00000356694,ENSP00000357804,ENSP00000358022,ENSP00000361125,ENSP00000362082,ENSP00000363089,ENSP00000369293,ENSP00000369554,ENSP00000369581,ENSP00000369757,ENSP00000371067,ENSP00000378517,ENSP00000380313,ENSP00000384273,ENSP00000384675,ENSP00000410294,ENSP00000425561	AKT1,BCL2,BCL2L1,CCND1,CCND3,CCNE1,CDC37,CDK4,CDK6,CDKN1A,CDKN1B,COL1A1,COL3A1,CSF3,EGF,EGFR,EIF4E,EIF4EBP1,EPO,F2R,FASLG,FGF19,FGF2,FGF3,FGF4,FGF7,FGFR2,FLT1,FN1,GNG8,GRB2,GSK3B,HGF,HRAS,HSP90AA1,IFNA1,IFNA2,IFNAR2,IFNB1,IGF1,IGF1R,IL2,IL2RA,IL4,IL6,IL7R,INS,INSR,IRS1,ITGB6,JAK2,KIT,LAMB1,MCL1,MET,MLST8,MTOR,NFKB1,NOS3,PCK1,PDGFB,PDGFRA,PIK3CA,PRKAA1,PTK2,RAC1,RAF1,RELA,RPS6,RPS6KB1,RPTOR,SOS1,SPP1,THBS1,THEM4,TLR4,TP53,TSC1,TSC2,VEGFA
04066	HIF-1 signaling pathway	45	2.38e-31	ENSP00000216117,ENSP00000216225,ENSP00000218388,ENSP00000223095,ENSP00000225577,ENSP00000226574,ENSP00000228872,ENSP00000229135,ENSP00000229239,ENSP00000244741,ENSP00000250971,ENSP00000252723,ENSP00000258743,ENSP00000263967,ENSP00000264657,ENSP00000265171,ENSP00000268035,ENSP00000270202,ENSP00000275493,ENSP00000282397,ENSP00000290219,ENSP00000292432,ENSP00000297494,ENSP00000302665,ENSP00000303830,ENSP00000305355,ENSP00000324105,ENSP00000327251,ENSP00000329623,ENSP00000340691,ENSP00000351407,ENSP00000354558,ENSP00000356713,ENSP00000361125,ENSP00000362413,ENSP00000363089,ENSP00000365663,ENSP00000368683,ENSP00000369757,ENSP00000381412,ENSP00000384273,ENSP00000385834,ENSP00000416293,ENSP00000425561,ENSP00000444856	AKT1,ARNT,BCL2,CAMK2A,CDKN1A,CDKN1B,CUL2,EDN1,EGF,EGFR,EIF4E,EIF4EBP1,ENO3,EPO,FLT1,GAPDH,HK3,HMOX1,IFNG,IFNGR1,IFNGR2,IGF1,IGF1R,IL6,INS,INSR,MTOR,NFKB1,NOS2,NOS3,NPPA,PGK1,PIK3CA,PRKCB,RBX1,RELA,RPS6,RPS6KB1,SERPINE1,SLC2A1,STAT3,TF,TIMP1,TLR4,VEGFA
05321	Inflammatory bowel disease (IBD)	36	8.12e-31	ENSP00000221930,ENSP00000226574,ENSP00000226730,ENSP00000229135,ENSP00000229829,ENSP00000231228,ENSP00000231449,ENSP00000233957,ENSP00000258743,ENSP00000262160,ENSP00000262345,ENSP00000263341,ENSP00000264260,ENSP00000264497,ENSP00000264657,ENSP00000290219,ENSP00000300589,ENSP00000303231,ENSP00000321345,ENSP00000327025,ENSP00000339398,ENSP00000344192,ENSP00000351255,ENSP00000353099,ENSP00000354394,ENSP00000356713,ENSP00000360266,ENSP00000363089,ENSP00000364076,ENSP00000382034,ENSP00000384273,ENSP00000393566,ENSP00000398698,ENSP00000403103,ENSP00000408146,ENSP00000412237	HLA-DOA,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DRB1,IFNG,IFNGR1,IFNGR2,IL10,IL12A,IL12B,IL12RB1,IL12RB2,IL17A,IL18R1,IL18RAP,IL1B,IL2,IL21,IL23R,IL4,IL6,JUN,NFKB1,NOD2,RELA,RORC,SMAD2,STAT1,STAT3,STAT4,TGFB1,TLR4,TNF
04060	Cytokine-cytokine receptor interaction	67	1.34e-30	ENSP00000162749,ENSP00000221930,ENSP00000222390,ENSP00000225245,ENSP00000225474,ENSP00000225831,ENSP00000226730,ENSP00000229134,ENSP00000229135,ENSP00000231228,ENSP00000231449,ENSP00000233957,ENSP00000241261,ENSP00000244174,ENSP00000252723,ENSP00000257290,ENSP00000258743,ENSP00000262345,ENSP00000263341,ENSP00000264260,ENSP00000264497,ENSP00000264563,ENSP00000265171,ENSP00000275493,ENSP00000276927,ENSP00000282397,ENSP00000288135,ENSP00000290219,ENSP00000292174,ENSP00000292301,ENSP00000292303,ENSP00000295683,ENSP00000296140,ENSP00000296545,ENSP00000296871,ENSP00000303231,ENSP00000306157,ENSP00000312652,ENSP00000314807,ENSP00000317272,ENSP00000319635,ENSP00000321345,ENSP00000330382,ENSP00000330959,ENSP00000332659,ENSP00000339393,ENSP00000343957,ENSP00000344192,ENSP00000347948,ENSP00000351671,ENSP00000356694,ENSP00000356713,ENSP00000361125,ENSP00000361359,ENSP00000363157,ENSP00000365435,ENSP00000367832,ENSP00000369293,ENSP00000369554,ENSP00000369581,ENSP00000379140,ENSP00000398698,ENSP00000403103,ENSP00000403495,ENSP00000409000,ENSP00000412237,ENSP00000427279	CCL2,CCL20,CCL3,CCL7,CCR1,CCR2,CCR4,CCR5,CCR6,CD40,CSF2,CSF3,CXCL12,CXCL2,CXCR1,CXCR2,CXCR5,EGF,EGFR,EPO,FASLG,FLT1,HGF,IFNA1,IFNA2,IFNAR2,IFNB1,IFNG,IFNGR1,IFNGR2,IL10,IL11,IL12A,IL12B,IL12RB1,IL12RB2,IL15,IL17A,IL18R1,IL18RAP,IL1B,IL1R2,IL1RAP,IL2,IL21,IL23R,IL26,IL28B,IL2RA,IL4,IL6,IL7R,IL9R,KIT,LEP,LTA,MET,PDGFB,PDGFRA,TGFB1,TNF,TNFRSF14,TNFRSF1A,TNFRSF1B,TNFSF10,TNFSF15,VEGFA
05206	MicroRNAs in cancer	49	1.42e-28	ENSP00000212015,ENSP00000216117,ENSP00000225512,ENSP00000226574,ENSP00000227507,ENSP00000228872,ENSP00000233607,ENSP00000244741,ENSP00000251849,ENSP00000257290,ENSP00000260356,ENSP00000262643,ENSP00000263967,ENSP00000264657,ENSP00000264709,ENSP00000265724,ENSP00000265734,ENSP00000266085,ENSP00000269305,ENSP00000275493,ENSP00000278616,ENSP00000304895,ENSP00000305355,ENSP00000306124,ENSP00000307272,ENSP00000309845,ENSP00000311032,ENSP00000317272,ENSP00000328547,ENSP00000329418,ENSP00000329623,ENSP00000330382,ENSP00000339007,ENSP00000342830,ENSP00000345571,ENSP00000349547,ENSP00000354558,ENSP00000356438,ENSP00000358022,ENSP00000361125,ENSP00000361405,ENSP00000361423,ENSP00000361850,ENSP00000364163,ENSP00000365016,ENSP00000384675,ENSP00000394932,ENSP00000400175,ENSP00000401303	ABCB1,ABL1,APC2,ATM,BCL2,CASP3,CCND1,CCNE1,CDK6,CDKN1A,CDKN1B,CDKN2A,DNMT3A,DNMT3B,E2F1,EGFR,GRB2,HMOX1,HRAS,IRS1,IRS2,MCL1,MET,MMP9,MTOR,NFKB1,NOTCH4,PDGFB,PDGFRA,PIK3CA,PLAU,PRKCB,PRKCE,PTGS2,RAF1,RASSF1,RDX,RHOA,RPTOR,SHC1,SIRT1,SOCS1,SOS1,STAT3,THBS1,TIMP3,TP53,VEGFA,WNT3
05166	HTLV-I infection	63	2.88e-28	ENSP00000162749,ENSP00000216797,ENSP00000221930,ENSP00000225512,ENSP00000226574,ENSP00000226730,ENSP00000227507,ENSP00000229829,ENSP00000233607,ENSP00000234310,ENSP00000239938,ENSP00000244741,ENSP00000257290,ENSP00000257904,ENSP00000258743,ENSP00000260600,ENSP00000262160,ENSP00000263967,ENSP00000264832,ENSP00000265371,ENSP00000267163,ENSP00000268184,ENSP00000269305,ENSP00000270202,ENSP00000278616,ENSP00000294728,ENSP00000296545,ENSP00000296871,ENSP00000300692,ENSP00000302564,ENSP00000306245,ENSP00000309572,ENSP00000309845,ENSP00000324806,ENSP00000328973,ENSP00000330382,ENSP00000330959,ENSP00000339398,ENSP00000344352,ENSP00000344456,ENSP00000345001,ENSP00000345571,ENSP00000349252,ENSP00000353099,ENSP00000353483,ENSP00000360266,ENSP00000361359,ENSP00000362082,ENSP00000364076,ENSP00000365402,ENSP00000369293,ENSP00000372023,ENSP00000376436,ENSP00000378306,ENSP00000378323,ENSP00000382034,ENSP00000384273,ENSP00000393566,ENSP00000394932,ENSP00000398698,ENSP00000403495,ENSP00000408146,ENSP00000416293	ADCY3,AKT1,APC2,ATF3,ATM,BCL2L1,CCND1,CCND3,CD3D,CD40,CDK4,CDKN1A,CDKN2A,CHEK2,CRTC1,CRTC3,CSF2,CTNNB1,E2F1,EGR1,ETS1,FOS,GSK3B,HLA-C,HLA-DOA,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DRB1,HRAS,ICAM1,IL15,IL1R2,IL2,IL2RA,IL6,ITGAL,JUN,LTA,MAPK8,NFKB1,NFKBIA,NRP1,PDGFB,PDGFRA,PIK3CA,PPP3CA,PPP3CB,PPP3R1,RB1,RELA,SLC2A1,SMAD2,TERT,TGFB1,TNF,TNFRSF1A,TP53,TSPO,VCAM1,WNT3
05152	Tuberculosis	52	9.84e-28	ENSP00000162749,ENSP00000211287,ENSP00000220751,ENSP00000221930,ENSP00000226574,ENSP00000229135,ENSP00000229794,ENSP00000229829,ENSP00000231228,ENSP00000234310,ENSP00000251849,ENSP00000258743,ENSP00000263341,ENSP00000270202,ENSP00000271450,ENSP00000276927,ENSP00000290219,ENSP00000297185,ENSP00000300589,ENSP00000303231,ENSP00000304236,ENSP00000305422,ENSP00000308383,ENSP00000311032,ENSP00000313681,ENSP00000318822,ENSP00000323178,ENSP00000327251,ENSP00000329623,ENSP00000339398,ENSP00000350941,ENSP00000351273,ENSP00000353099,ENSP00000353483,ENSP00000354394,ENSP00000356713,ENSP00000360797,ENSP00000363089,ENSP00000364076,ENSP00000369554,ENSP00000369581,ENSP00000371067,ENSP00000378306,ENSP00000378323,ENSP00000381412,ENSP00000382034,ENSP00000384273,ENSP00000393566,ENSP00000398698,ENSP00000400175,ENSP00000408146,ENSP00000412237	AKT1,BCL2,BID,CAMK2A,CARD9,CASP3,CASP8,CD14,CEBPB,FCGR2A,HLA-DOA,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DRB1,HSPA9,IFNA1,IFNA2,IFNB1,IFNG,IFNGR1,IFNGR2,IL10,IL12A,IL12B,IL1B,IL6,JAK2,KSR1,LSP1,MAPK13,MAPK14,MAPK8,NFKB1,NOD2,NOS2,PPP3CA,PPP3CB,PPP3R1,RAF1,RELA,RHOA,RIPK2,SPHK1,SRC,STAT1,TGFB1,TLR4,TNF,TNFRSF1A
05205	Proteoglycans in cancer	58	1.94e-27	ENSP00000168712,ENSP00000206249,ENSP00000211287,ENSP00000219070,ENSP00000221930,ENSP00000222390,ENSP00000225512,ENSP00000225577,ENSP00000227507,ENSP00000228307,ENSP00000229794,ENSP00000231228,ENSP00000244741,ENSP00000251849,ENSP00000260356,ENSP00000260766,ENSP00000262160,ENSP00000263967,ENSP00000263980,ENSP00000264498,ENSP00000264657,ENSP00000266085,ENSP00000267843,ENSP00000268035,ENSP00000268182,ENSP00000269305,ENSP00000270202,ENSP00000275493,ENSP00000288602,ENSP00000294312,ENSP00000302665,ENSP00000305355,ENSP00000309845,ENSP00000311032,ENSP00000314458,ENSP00000317272,ENSP00000334122,ENSP00000339007,ENSP00000341189,ENSP00000342830,ENSP00000344456,ENSP00000346839,ENSP00000348461,ENSP00000350941,ENSP00000354558,ENSP00000356694,ENSP00000361125,ENSP00000361405,ENSP00000361850,ENSP00000363089,ENSP00000369757,ENSP00000377836,ENSP00000381412,ENSP00000384496,ENSP00000384675,ENSP00000391826,ENSP00000398698,ENSP00000400175	AKT1,BRAF,CAMK2A,CASP3,CCND1,CDC42,CDKN1A,CTNNB1,EGFR,ESR1,FASLG,FGF19,FGF2,FGF3,FGF4,FGF7,FN1,GPC3,GRB2,HGF,HRAS,IGF1,IGF1R,IGF2,IL12B,IQGAP1,MAPK13,MAPK14,MET,MMP2,MMP9,MTOR,PIK3CA,PLAU,PLCE1,PPP1R12B,PRKCB,PTK2,PXN,RAC1,RAF1,RDX,RHOA,RPS6,RPS6KB1,SLC9A1,SMAD2,SOS1,SRC,STAT3,TGFB1,THBS1,TIMP3,TLR4,TNF,TP53,VEGFA,WNT3
05145	Toxoplasmosis	41	2.34e-25	ENSP00000162749,ENSP00000211287,ENSP00000216797,ENSP00000221930,ENSP00000222399,ENSP00000226574,ENSP00000229135,ENSP00000229794,ENSP00000229829,ENSP00000231228,ENSP00000263967,ENSP00000264657,ENSP00000264818,ENSP00000270202,ENSP00000290219,ENSP00000292303,ENSP00000302564,ENSP00000303231,ENSP00000311032,ENSP00000327251,ENSP00000329418,ENSP00000329623,ENSP00000339398,ENSP00000351273,ENSP00000353099,ENSP00000353483,ENSP00000354394,ENSP00000356713,ENSP00000361359,ENSP00000363089,ENSP00000363512,ENSP00000364076,ENSP00000364802,ENSP00000371067,ENSP00000382034,ENSP00000384273,ENSP00000393566,ENSP00000398698,ENSP00000408146,ENSP00000412237,ENSP00000428220	AKT1,ALOX5,BCL2,BCL2L1,CASP3,CASP8,CCR5,CD40,HLA-DOA,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DRB1,HSPA1A,IFNG,IFNGR1,IFNGR2,IL10,IL12A,IL12B,IRGM,JAK2,LAMB1,MAPK13,MAPK14,MAPK8,NFKB1,NFKBIA,NOS2,PIK3CA,RELA,SOCS1,STAT1,STAT3,TGFB1,TLR4,TNF,TNFRSF1A,TYK2
