node1,node2,combined_score
IL1RAP,IL1B,0.999
CTNNB1,APC2,0.999
IL12A,IL12B,0.999
FGFR2,FGF2,0.999
SREBF2,SCAP,0.999
SMAD3,TGFB1,0.999
MLH3,MLH1,0.999
NRG1,ERBB3,0.999
RB1,RAF1,0.999
IL8,CXCR1,0.999
MED1,ESR1,0.999
JUN,MAPK8,0.999
MUC1,CTNNB1,0.999
CDKN2A,MYC,0.999
GSK3B,TP53,0.999
MET,HGF,0.999
BCL2L11,BCL2L1,0.999
ILK,AKT1,0.999
SKP2,CDKN1A,0.999
PTEN,AKT1,0.999
ABL1,RB1,0.999
BRCA1,ESR1,0.999
JAK2,STAT6,0.999
CTNNB1,GSK3B,0.999
F2,SERPIND1,0.999
JUN,FOSL2,0.999
JAK2,GHR,0.999
AR,SMAD3,0.999
CTLA4,CD80,0.999
NFE2L2,MAFG,0.999
PTEN,PDGFRB,0.999
TGFA,EGFR,0.999
JAK2,SOCS1,0.999
ETS1,JUN,0.999
TP53,MSH2,0.999
CHEK2,ATM,0.999
NOS3,AKT1,0.999
MTOR,TSC2,0.999
HRAS,BRAF,0.999
NOTCH1,DTX1,0.999
BCL2L1,BAX,0.999
VEGFA,NRP1,0.999
AR,FOXA1,0.999
BBC3,BCL2L1,0.999
SRC,RAC1,0.999
FGFR2,FGF3,0.999
MTOR,AKT1,0.999
BBC3,MCL1,0.999
SMAD4,SMAD2,0.999
HRAS,PIK3CA,0.999
SMAD4,SMAD3,0.999
TIMP3,MMP2,0.999
SRC,EGFR,0.999
HIF1A,TP53,0.999
IFNA2,IFNAR2,0.999
RB1,CCND1,0.999
SKP2,CDKN1B,0.999
IL2RA,IL2,0.999
RELA,NFKB1,0.999
STAT1,EGFR,0.999
NFE2L2,KEAP1,0.999
MAPK8,TP53,0.999
MYC,SKP2,0.999
BRCA1,ATM,0.999
CCR5,CCL3,0.999
CCND1,ESR1,0.999
XIAP,CASP3,0.999
ABCD3,PEX19,0.999
BID,BCL2L1,0.999
AKT1,ERBB3,0.999
PMS2,MLH1,0.999
RAC1,IQGAP1,0.999
HSPA9,TP53,0.999
BID,BAX,0.999
AKT1,CDKN1A,0.999
JAK2,SOCS3,0.999
ARNT,AHR,0.999
NRG1,ERBB4,0.999
SRC,CDH1,0.999
AR,CTNNB1,0.999
IGF1,IGFBP1,0.999
MEN1,JUND,0.999
JUN,GSK3B,0.999
CFLAR,TNFSF10,0.999
EGFR,ERBB2,0.999
GSK3B,APC,0.999
AKT1,CDKN1B,0.999
F5,F2,0.999
RELA,NFKBIA,0.999
RELA,IL8,0.999
APOA1,APOB,0.999
SFN,TP53,0.999
TNFSF10,TNFRSF10A,0.999
PRKDC,TP53,0.999
CCNE1,CDKN1B,0.999
CDKN2A,CCND1,0.999
NR5A2,NR0B2,0.999
SMAD3,FOS,0.999
TP53,SIRT1,0.999
CDKN2A,TP53,0.999
RRM2,RRM1,0.999
CTNNB1,ERBB2,0.999
MED1,PPARG,0.999
FASLG,FAS,0.999
ITGAL,ICAM1,0.999
EGFR,EGF,0.999
PRDM1,MIF,0.999
HRAS,RAF1,0.999
CFLAR,TNFRSF10B,0.999
JAK2,IRS1,0.999
PTEN,PIK3CA,0.999
IFNGR1,STAT1,0.999
MUTYH,APEX1,0.999
ENO1,GAPDH,0.999
BCL2,RAF1,0.999
CTNNB1,CCND1,0.999
MMP9,TIMP1,0.999
BRCA1,PALB2,0.999
MAPK8,BCL2,0.999
HEY1,NOTCH1,0.999
BCL2L11,BCL2,0.999
PTEN,PTK2,0.999
CTNNB1,APC,0.999
PRKDC,AKT1,0.999
CXCL1,CXCR2,0.999
EGFR,CDH1,0.999
CHEK2,TP53,0.999
CCNE1,CDKN1A,0.999
ARNT,HIF1A,0.999
RB1,CCNE1,0.999
NOTCH1,JAG1,0.999
AR,SRC,0.999
STAT3,CCND1,0.999
JUN,SMAD3,0.999
VEGFA,FLT1,0.999
GSK3B,AXIN1,0.999
PEX5,PEX12,0.999
SMAD3,SMAD2,0.999
EDN1,EDNRB,0.999
SMAD2,TGFB1,0.999
ATM,TP53,0.999
PEX19,PEX13,0.999
BRCA1,TP53,0.999
NRP1,KDR,0.999
CCR2,CCL2,0.999
CTNNB1,EGFR,0.999
GSK3B,SNAI1,0.999
BCL2,BID,0.999
SRC,ESR1,0.999
BCL2,TP53,0.999
PARVB,ILK,0.999
PTEN,TP53,0.999
BCL2L1,TP53,0.999
MYC,GSK3B,0.999
CASP8,FAS,0.999
RAC1,AKT1,0.999
IRS2,IGF1R,0.999
IGF1,IGF1R,0.999
AKT1,PIK3CA,0.999
FST,INHBA,0.999
CEBPB,ESR1,0.999
NOD2,RIPK2,0.999
ATP7A,ATOX1,0.999
IFNGR1,IFNG,0.999
MAPK8,FOS,0.999
SOD2,SOD1,0.999
PMS2,MSH2,0.999
BRCA2,PALB2,0.999
BCL2L11,BAX,0.999
CCNA1,CDKN1A,0.999
CTNNB1,AKT1,0.999
ATP5H,ATP5B,0.999
E2F1,RB1,0.999
PEX5,PEX14,0.999
SRC,STAT3,0.999
CTNNB1,AXIN1,0.999
ADAM17,NOTCH1,0.999
TSEN54,TSEN2,0.999
AGT,REN,0.999
BCAR1,SRC,0.999
PEX19,PEX12,0.999
BCAR1,PTK2,0.999
BCL2L11,MCL1,0.999
ABL1,ATM,0.999
COPS5,TP53,0.999
CASP8,CFLAR,0.999
FLT1,NRP1,0.999
STAT1,PRKCD,0.999
PLG,SERPINE1,0.999
SOCS3,IRS1,0.999
ITGAM,ICAM1,0.999
FGFR2,FGF4,0.999
GSK3B,CCND1,0.999
JUN,FOS,0.999
JUN,ATF3,0.999
ATOX1,ATP7B,0.999
EGFR,KRAS,0.999
CHP1,SLC9A1,0.999
CUL2,HIF1A,0.999
LDLR,APOB,0.999
MSH2,MLH1,0.999
TSC1,TSC2,0.999
TIMP2,MMP2,0.999
IGF1R,ESR1,0.999
IKBKG,CYLD,0.999
TP53,CDKN1A,0.999
CXCR2,IL8,0.999
FGFR2,FGF7,0.999
IGF2,IGFBP1,0.999
TNFRSF10B,TNFSF10,0.999
IRS1,PIK3CA,0.999
SSTR2,SST,0.999
GSK3B,AKT1,0.999
MAP3K8,NFKB1,0.999
SRC,PTK2,0.999
CCNY,CDK14,0.999
ERBB2,ERBB3,0.999
MCL1,BAX,0.999
JUN,COPS5,0.999
PEX19,PEX3,0.999
HRAS,EGFR,0.999
BAX,TP53,0.999
IGF2,IGF2R,0.999
MSH6,MSH2,0.999
RAC1,IQGAP2,0.999
STAT1,TYK2,0.999
CEBPA,CEBPB,0.999
NFKB1,NFKBIA,0.999
PLAU,SERPINE1,0.999
CCL5,CCR5,0.999
F2R,F2,0.999
EGFR,STAT3,0.999
FAS,CFLAR,0.999
BRCA1,CHEK2,0.999
TGFBR2,TGFB1,0.999
FASLG,CASP8,0.999
TSC1,AKT1,0.999
AXIN1,APC,0.999
ENO3,PKM,0.999
MSH6,MLH1,0.999
JUN,MAPK14,0.999
FOS,JUND,0.999
VEGFA,HIF1A,0.999
CFLAR,TNFRSF10A,0.999
JAK2,STAT3,0.999
CASP8,TNFRSF10A,0.999
STAT1,STAT3,0.999
SDHB,SDHC,0.999
MAPK14,DUSP16,0.999
PEX5,PEX13,0.999
SDHB,SDHA,0.999
VEGFA,KDR,0.999
PDGFB,PDGFRB,0.999
IRS1,IGF1R,0.999
CDKN1A,CCND1,0.999
PMS2,MSH6,0.999
SERPINC1,F2,0.999
VEGFB,FLT1,0.999
CASP8,TNFRSF10B,0.999
