#node1,node2,node1_string_internal_id,node2_string_internal_id,node1_external_id,node2_external_id,neighborhood_on_chromosome,gene_fusion,phylogenetic_cooccurrence,homology,coexpression,experimentally_determined_interaction,database_annotated,automated_textmining,prediction,combined_score
RPS3,FAU,1861952,1861888,9606.ENSP00000433821,9606.ENSP00000431822,0,0,0,0,0.975,0.997,0.9,0.198,0,0.999
RPS3A,RPS7,1853009,1852173,9606.ENSP00000346050,9606.ENSP00000339095,0,0,0,0,0.975,0.997,0.9,0.364,0,0.999
PSMC3,PSMA6,1847998,1844920,9606.ENSP00000298852,9606.ENSP00000261479,0,0,0,0,0.262,0.996,0.9,0.414,0,0.999
RPS26,RPSA,1853363,1853012,9606.ENSP00000348849,9606.ENSP00000346067,0,0,0,0,0.951,0.992,0.9,0.234,0,0.999
PSMD14,PSMA7,1859182,1855365,9606.ENSP00000386541,9606.ENSP00000359910,0,0,0,0,0.328,0.999,0.9,0.576,0,0.999
PSMD12,PSMD1,1853297,1849179,9606.ENSP00000348442,9606.ENSP00000309474,0,0,0,0,0.23,0.997,0.9,0.62,0,0.999
PSMC2,PSMA3,1847374,1842599,9606.ENSP00000292644,9606.ENSP00000216455,0,0,0,0,0.396,0.995,0.9,0.377,0,0.999
PSMD2,PSMC2,1849263,1847374,9606.ENSP00000310129,9606.ENSP00000292644,0,0,0,0,0.276,0.999,0.9,0.799,0,0.999
PSMD4,PSMD8,1854905,1842478,9606.ENSP00000357879,9606.ENSP00000215071,0,0,0,0,0.621,0.999,0.9,0.803,0,0.999
RICTOR,EIF4EBP1,1853522,1852358,9606.ENSP00000349959,9606.ENSP00000340691,0,0,0,0,0,0.999,0,0.882,0,0.999
PSMA7,PSMB7,1855365,1844696,9606.ENSP00000359910,9606.ENSP00000259457,0,0,0,0,0.729,0.997,0.9,0.671,0,0.999
ARPC1B,ARPC3,1844155,1843162,9606.ENSP00000252725,9606.ENSP00000228825,0,0,0,0,0,0.999,0.9,0.985,0,0.999
USP14,PSMC4,1844948,1842267,9606.ENSP00000261601,9606.ENSP00000157812,0,0,0,0,0.769,0.999,0,0.312,0,0.999
SUGT1,HSP90AB1,1856790,1850780,9606.ENSP00000367208,9606.ENSP00000325875,0,0,0,0,0.959,0.993,0.9,0.875,0,0.999
RPS13,RPS6,1862013,1857216,9606.ENSP00000435777,9606.ENSP00000369757,0,0,0,0,0.975,0.999,0.9,0.519,0,0.999
PSMD1,PSMD11,1849179,1844971,9606.ENSP00000309474,9606.ENSP00000261712,0,0,0,0,0.282,0.997,0.9,0.444,0,0.999
PSMB1,PSMA4,1845087,1842214,9606.ENSP00000262193,9606.ENSP00000044462,0,0,0.29,0,0.921,0.999,0.9,0.739,0,0.999
