#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	prediction	combined_score
SSTR5	octreotide	1847454	-100054373	9606.ENSP00000293897	-1.CID100054373	0	0	0	0	0	0.929	0.8	0.939	0.174	0.999
DHFR	methotrexate	1859928	-100004112	9606.ENSP00000396308	-1.CID100004112	0	0	0	0	0	0.995	0.9	0.998	0	0.999
OPRM1	fentanyl	1859815	-100003345	9606.ENSP00000394624	-1.CID100003345	0	0	0	0	0	0.93	0.9	0.984	0	0.999
CHRNA4	nicotine	1855204	-100000942	9606.ENSP00000359285	-1.CID100000942	0	0	0	0	0	0.903	0.9	0.986	0	0.999
PGF	FLT1	1862737	1846791	9606.ENSP00000451040	9606.ENSP00000282397	0	0	0	0	0	0.996	0.9	0.974	0	0.999
HMGCR	lovastatin	1847097	-100003962	9606.ENSP00000287936	-1.CID100003962	0	0	0	0	0	0.929	0.9	0.964	0	0.999
PDGFRB	sunitinib	1844996	-103086686	9606.ENSP00000261799	-1.CID103086686	0	0	0	0	0	0.914	0.8	0.974	0	0.999
HRAS	RAF1	1849235	1844086	9606.ENSP00000309845	9606.ENSP00000251849	0	0	0	0	0	0.999	0.9	0.985	0	0.999
ABI1	ABL1	1856444	1855665	9606.ENSP00000365312	9606.ENSP00000361423	0	0	0	0	0	0.999	0.9	0.913	0	0.999
HMGCR	pravastatin	1847097	-100004889	9606.ENSP00000287936	-1.CID100004889	0	0	0	0	0	0.885	0.9	0.947	0	0.999
DPYD	5-fluorouracil	1855189	-100003385	9606.ENSP00000359211	-1.CID100003385	0	0	0	0	0	0.955	0.9	0.981	0	0.999
NR3C1	mifepristone	1843294	-100004196	9606.ENSP00000231509	-1.CID100004196	0	0	0	0	0	0.974	0.9	0.992	0	0.999
PTPN11	PDGFRB	1852389	1844996	9606.ENSP00000340944	9606.ENSP00000261799	0	0	0	0	0	0.999	0.9	0.952	0	0.999
YWHAB	RAF1	1848151	1844086	9606.ENSP00000300161	9606.ENSP00000251849	0	0	0	0	0	0.999	0.9	0.883	0	0.999
RAP1A	RAF1	1853349	1844086	9606.ENSP00000348786	9606.ENSP00000251849	0	0	0	0	0	0.999	0.9	0.976	0	0.999
DHFR	trimethoprim	1859928	-100005578	9606.ENSP00000396308	-1.CID100005578	0	0	0	0	0	0.966	0.8	0.989	0	0.999
PDGFRB	imatinib	1844996	-100005291	9606.ENSP00000261799	-1.CID100005291	0	0	0	0	0	0.927	0.9	0.995	0	0.999
CYP2A6	nicotine	1848249	-100000942	9606.ENSP00000301141	-1.CID100000942	0	0	0	0	0	0.8	0.9	0.952	0	0.999
FKBP1A	tacrolimus	1857423	-100005372	9606.ENSP00000371138	-1.CID100005372	0	0	0	0	0	0.893	0.9	0.978	0	0.999
SSTR4	octreotide	1844347	-100054373	9606.ENSP00000255008	-1.CID100054373	0	0	0	0	0	0.953	0.8	0.94	0.174	0.999
PDGFRB	PLCG1	1844996	1843693	9606.ENSP00000261799	9606.ENSP00000244007	0	0	0	0	0	0.999	0.9	0.874	0	0.999
PLG	EACA	1849130	-100000564	9606.ENSP00000308938	-1.CID100000564	0	0	0	0	0	0.8	0.9	0.952	0	0.999
TYMS	5-fluorouracil	1849803	-100003385	9606.ENSP00000315644	-1.CID100003385	0	0	0	0	0	0.615	0.9	0.996	0	0.999
KDR	sorafenib	1845437	-100216239	9606.ENSP00000263923	-1.CID100216239	0	0	0	0	0	0.973	0.8	0.938	0	0.999
KIT	imatinib	1847112	-100005291	9606.ENSP00000288135	-1.CID100005291	0	0	0	0	0	0.928	0.9	0.978	0	0.999
PPP3CA	PPP3R1	1858236	1843394	9606.ENSP00000378323	9606.ENSP00000234310	0	0	0.243	0	0.119	0.999	0.9	0.981	0	0.999
OPRM1	endomorphin-2	1859815	-105311081	9606.ENSP00000394624	-1.CID105311081	0	0	0	0	0	0.995	0.8	0.976	0	0.999
OPRM1	DAMGO	1859815	-100104742	9606.ENSP00000394624	-1.CID100104742	0	0	0	0	0	0.994	0.8	0.997	0.294	0.999
HSP90AA1	RAF1	1851814	1844086	9606.ENSP00000335153	9606.ENSP00000251849	0	0	0	0	0	0.999	0	0.977	0	0.999
OPRM1	naloxone	1859815	-100004425	9606.ENSP00000394624	-1.CID100004425	0	0	0	0	0	0.977	0.8	0.996	0.289	0.999
