#node1,node2,node1_string_internal_id,node2_string_internal_id,node1_external_id,node2_external_id,neighborhood_on_chromosome,gene_fusion,phylogenetic_cooccurrence,homology,coexpression,experimentally_determined_interaction,database_annotated,automated_textmining,prediction,combined_score
NR3C2,spironolactone,1852455,-100005267,9606.ENSP00000341390,-1.CID100005267,0,0,0,0,0,0.84,0.9,0.961,0,0.999
NRP1,KDR,1845737,1845437,9606.ENSP00000265371,9606.ENSP00000263923,0,0,0,0,0,0.92,0.9,0.973,0,0.999
VEGFB,FLT1,1849383,1846791,9606.ENSP00000311127,9606.ENSP00000282397,0,0,0,0,0,0.98,0.9,0.943,0,0.999
CSF1R,CBL,1847002,1845465,9606.ENSP00000286301,9606.ENSP00000264033,0,0,0,0,0,0.983,0.9,0.506,0,0.999
YWHAB,RAF1,1848151,1844086,9606.ENSP00000300161,9606.ENSP00000251849,0,0,0,0,0,0.999,0.9,0.883,0,0.999
CYP2A6,nicotine,1848249,-100000942,9606.ENSP00000301141,-1.CID100000942,0,0,0,0,0,0.8,0.9,0.952,0,0.999
CHRNA4,nicotine,1855204,-100000942,9606.ENSP00000359285,-1.CID100000942,0,0,0,0,0,0.903,0.9,0.986,0,0.999
PDGFRB,imatinib,1844996,-100005291,9606.ENSP00000261799,-1.CID100005291,0,0,0,0,0,0.927,0.9,0.995,0,0.999
GRB2,BCR,1852164,1848539,9606.ENSP00000339007,9606.ENSP00000303507,0,0,0,0,0,0.999,0.9,0.701,0,0.999
PPP3CA,PPP3R1,1858236,1843394,9606.ENSP00000378323,9606.ENSP00000234310,0,0,0.243,0,0.119,0.999,0.9,0.981,0,0.999
ABI1,ABL1,1856444,1855665,9606.ENSP00000365312,9606.ENSP00000361423,0,0,0,0,0,0.999,0.9,0.913,0,0.999
TYMS,5-fluorouracil,1849803,-100003385,9606.ENSP00000315644,-1.CID100003385,0,0,0,0,0,0.615,0.9,0.996,0,0.999
OPRM1,DAMGO,1859815,-100104742,9606.ENSP00000394624,-1.CID100104742,0,0,0,0,0,0.994,0.8,0.997,0.294,0.999
SHC1,PIK3R1,1860266,1846375,9606.ENSP00000401303,9606.ENSP00000274335,0,0,0,0,0,0.999,0.9,0.357,0,0.999
OPRM1,carfentanil,1859815,-100062156,9606.ENSP00000394624,-1.CID100062156,0,0,0,0,0,0.993,0.8,0.968,0,0.999
PIK3R1,CBL,1846375,1845465,9606.ENSP00000274335,9606.ENSP00000264033,0,0,0,0,0,0.999,0.9,0.242,0,0.999
OPRM1,naloxone,1859815,-100004425,9606.ENSP00000394624,-1.CID100004425,0,0,0,0,0,0.977,0.8,0.996,0.289,0.999
MAP2K1,RAF1,1848411,1844086,9606.ENSP00000302486,9606.ENSP00000251849,0,0,0,0.631,0,0.999,0.9,0.981,0,0.999
YWHAZ,RAF1,1849183,1844086,9606.ENSP00000309503,9606.ENSP00000251849,0,0,0,0,0,0.999,0.9,0.582,0,0.999
PDE5A,sildenafil,1853125,-100005212,9606.ENSP00000347046,-1.CID100005212,0,0,0,0,0,0.953,0.9,0.99,0,0.999
PTGS2,indomethacin,1854602,-100003715,9606.ENSP00000356438,-1.CID100003715,0,0,0,0,0,0.926,0.9,0.971,0,0.999
PTPN11,KIT,1852389,1847112,9606.ENSP00000340944,9606.ENSP00000288135,0,0,0,0,0,0.919,0.9,0.94,0,0.999
PGF,FLT1,1862737,1846791,9606.ENSP00000451040,9606.ENSP00000282397,0,0,0,0,0,0.996,0.9,0.974,0,0.999
OPRM1,endomorphin-1,1859815,-105311080,9606.ENSP00000394624,-1.CID105311080,0,0,0,0,0,0.988,0.8,0.96,0,0.999
PTGS1,diclofenac,1854170,-100003032,9606.ENSP00000354612,-1.CID100003032,0,0,0,0,0,0.915,0.9,0.922,0,0.999
DHFR,folate,1859928,-100003405,9606.ENSP00000396308,-1.CID100003405,0,0,0,0,0,0.8,0.9,0.985,0,0.999
PIK3R1,PDGFRB,1846375,1844996,9606.ENSP00000274335,9606.ENSP00000261799,0,0,0,0,0,0.999,0.9,0.33,0,0.999
ABL1,BCR,1855665,1848539,9606.ENSP00000361423,9606.ENSP00000303507,0,0,0,0,0,0.983,0.8,0.981,0,0.999
SHC1,GRB2,1860266,1852164,9606.ENSP00000401303,9606.ENSP00000339007,0,0,0,0,0,0.999,0.9,0.995,0,0.999
PTGS1,indomethacin,1854170,-100003715,9606.ENSP00000354612,-1.CID100003715,0,0,0,0,0,0.909,0.9,0.967,0,0.999
NR3C1,mifepristone,1843294,-100004196,9606.ENSP00000231509,-1.CID100004196,0,0,0,0,0,0.974,0.9,0.992,0,0.999
HSP90AA1,RAF1,1851814,1844086,9606.ENSP00000335153,9606.ENSP00000251849,0,0,0,0,0,0.999,0,0.977,0,0.999
ABL1,ATM,1855665,1846577,9606.ENSP00000361423,9606.ENSP00000278616,0,0,0,0,0,0.992,0.9,0.974,0,0.999
SHC1,CBL,1860266,1845465,9606.ENSP00000401303,9606.ENSP00000264033,0,0,0,0,0,0.999,0.9,0.794,0,0.999
OPRM1,fentanyl,1859815,-100003345,9606.ENSP00000394624,-1.CID100003345,0,0,0,0,0,0.93,0.9,0.984,0,0.999
RAF1,YWHAQ,1844086,1843478,9606.ENSP00000251849,9606.ENSP00000238081,0,0,0,0,0,0.998,0.9,0.06,0,0.999
FLT1,NRP1,1846791,1845737,9606.ENSP00000282397,9606.ENSP00000265371,0,0,0,0,0,0.82,0.9,0.975,0,0.999
MAP2K1,BRAF,1848411,1847131,9606.ENSP00000302486,9606.ENSP00000288602,0,0,0,0.634,0,0.999,0.9,0.82,0,0.999
RAP1A,RAF1,1853349,1844086,9606.ENSP00000348786,9606.ENSP00000251849,0,0,0,0,0,0.999,0.9,0.976,0,0.999
