GeneCard,Gene Name,Locus,Disorders
A2M,alpha-2-macroglobulin ,12p13.3-p12.3,
,,,Emphysema due to alpha-2-macroglobulin deficiency
,,,"Alzheimer disease, susceptibility to [MIM:104300]"
,,,
A4GALT,"alpha 1,4-galactosyltransferase ",22q13.2,
,,,"Blood group, P system [MIM:111400]"
,,,
A4GNT,"alpha-1,4-N-acetylglucosaminyltransferase ",?,
,,,mutations
,,,
AA1,Alopecia areata 1 ,18p11.3-p11.2,
,,,Alopecia areata 1
,,,
AA2,Alopecia areata 2 ,16q11-q22,
,,,Alopecia areata 2
,,,
AAA1,"aortic aneurysm, familial abdominal 1 ",19q13,
,,,"Aortic aneurysm, familial abdominal 1"
,,,
AAA2,"Aortic aneurysm, familial abdominal 2 ",4q31,
,,,"Aortic aneurysm, familial abdominal 2"
,,,
AAA3,"Aneurysm, familial abdominal 3 ",9p21,
,,,"Aneurysm, familial abdominal 3"
,,,
AAAS,"achalasia, adrenocortical insufficiency, alacrimia ",12q13,
,,,Achalasia-addisonianism-alacrimia syndrome [MIM:231550]
,,,
AADACL2,arylacetamide deacetylase-like 2 ,?,
,,,mutations
,,,
AADAC,arylacetamide deacetylase ,3q21.3-q25.2,
,,,mutations
,,,
AANAT,aralkylamine N-acetyltransferase ,17q25,
,,,"Delayed sleep phase syndrome, susceptibility to"
,,,
AARS2,"alanyl-tRNA synthetase 2, mitochondrial (putative) ",6p21.1,
,,,mutations
,,,
AARS,alanyl-tRNA synthetase ,16q22,
,,,"Charcot-Marie-Tooth disease, axonal, type 2N [MIM:613287]"
,,,
AASS,aminoadipate-semialdehyde synthase ,7q31.3,
,,,Hyperlysinemia [MIM:238700]
,,,Saccharopinuria [MIM:268700]
,,,
AAT1,"Aortic aneurysm, familial thoracic 1 ",11q23.3-q24,
,,,"Aortic aneurysm, familial thoracic 1"
,,,
AAT2,"Aortic aneurysm, familial thoracic 2 ",5q13-q14,
,,,"Aortic aneurysm, familial thoracic 2"
,,,
ABAT,4-aminobutyrate aminotransferase ,16p13.3,
,,,GABA-transaminase deficiency [MIM:613163]
,,,
ABCA10,"ATP-binding cassette, sub-family A (ABC1), member 10 ",17q24.2,
,,,mutations
,,,
ABCA12,"ATP-binding cassette, sub-family A (ABC1), member 12 ",2q34,
,,,"Ichthyosis, lamellar 2 [MIM:601277]"
,,,"Ichthyosis, harlequin [MIM:242500]"
,,,
ABCA13,"ATP-binding cassette, sub-family A (ABC1), member 13 ",7p12.3,
,,,mutations
,,,
ABCA1,"ATP-binding cassette, sub-family A (ABC1), member 1 ",9q22-q31,
,,,Tangier disease [MIM:205400]
,,,"HDL deficiency, type 2 [MIM:604091]"
,,,"Coronary artery disease in familial hypercholesterolemia, protection against [MIM:143890]"
,,,
ABCA2,"ATP-binding cassette, sub-family A (ABC1), member 2 ",9q34,
,,,mutations
,,,
ABCA3,"ATP-binding cassette, sub-family A (ABC1), member 3 ",16p13.3,
,,,"Surfactant metabolism dysfunction, pulmonary, 3 [MIM:610921]"
,,,
ABCA4,"ATP-binding cassette, sub-family A (ABC1), member 4 ",1p22.1,
,,,Stargardt disease-1 [MIM:248200]
,,,Retinitis pigmentosa-19 [MIM:601718]
,,,Cone-rod dystrophy 3 [MIM:604116]
,,,"Macular degeneration, age-related, 2 [MIM:153800]"
,,,Fundus flavimaculatus [MIM:248200]
,,,"Retinal dystrophy, early-onset severe [MIM:248200]"
,,,
ABCA7,"ATP-binding cassette, sub-family A (ABC1), member 7 ",19p13.3,
,,,mutations
,,,
ABCB11,"ATP-binding cassette, sub-family B (MDR/TAP), member 11 ",2q24,
,,,"Cholestasis, progressive familial intrahepatic 2 [MIM:601847]"
,,,"Cholestasis, benign recurrent intrahepatic, 2 [MIM:605479]"
,,,
ABCB1,"ATP-binding cassette, sub-family B (MDR/TAP), member 1 ",7q21.1,
,,,Colchicine resistance
,,,Inflammatory bowel disease 13 [MIM:612244]
,,,
ABCB4,"ATP-binding cassette, sub-family B (MDR/TAP), member 4 ",7q21.1,
,,,"Cholestasis, progressive familial intrahepatic 3 [MIM:602347]"
,,,"Cholestasis, familial intrahepatic, of pregnancy [MIM:147480]"
,,,Gallbladder disease 1 [MIM:600803]
,,,
ABCB6,"ATP-binding cassette, sub-family B (MDR/TAP), member 6 ",2q36,
,,,mutations
,,,
ABCB7,"ATP-binding cassette, sub-family B (MDR/TAP), member 7 ",Xq13.1-q13.3,
,,,"Anemia, sideroblastic, with ataxia [MIM:301310]"
,,,
ABCC11,"ATP-binding cassette, sub-family C (CFTR/MRP), member 11 ",16q12.1,
,,,"Earwax, wet/dry [MIM:117800]"
,,,"Axillary odor, variation in [MIM:117800]"
,,,"Colostrum secretion, variation in [MIM:117800]"
,,,
ABCC1,"ATP-binding cassette, sub-family C (CFTR/MRP), member 1 ",16p13.1,
,,,mutations
,,,
ABCC2,"ATP-binding cassette, sub-family C (CFTR/MRP), member 2 ",10q24,
,,,Dubin-Johnson syndrome [MIM:237500]
,,,
ABCC3,"ATP-binding cassette, sub-family C (CFTR/MRP), member 3 ",17q22,
,,,mutations
,,,
ABCC4,"ATP-binding cassette, sub-family C (CFTR/MRP), member 4 ",13q32,
,,,mutations
,,,
ABCC6,"ATP-binding cassette, sub-family C (CFTR/MRP), member 6 ",16p13.1,
,,,Pseudoxanthoma elasticum [MIM:264800]
,,,"Pseudoxanthoma elasticum, forme fruste [MIM:177850]"
,,,
ABCC8,"ATP-binding cassette, sub-family C (CFTR/MRP), member 8 ",11p15.1,
,,,"Hyperinsulinemic hypoglycemia, familial, 1 [MIM:256450]"
,,,"Hypoglycemia of infancy, leucine-sensitive [MIM:240800]"
,,,"Diabetes mellitus, transient neonatal 2 [MIM:610374]"
,,,"Diabetes mellitus, noninsulin-dependent [MIM:125853]"
,,,"Diabetes mellitus, permanent neonatal [MIM:606176]"
,,,
ABCC9,"ATP-binding cassette, sub-family C (CFTR/MRP), member 9 ",12p12.1,
,,,"Cardiomyopathy, dilated, 1O [MIM:608569]"
,,,
ABCD1,"ATP-binding cassette, sub-family D (ALD), member 1 ",Xq28,
,,,Adrenoleukodystrophy [MIM:300100]
,,,Adrenomyeloneuropathy [MIM:300100]
,,,
ABCD3,"ATP-binding cassette, sub-family D (ALD), member 3 ",1p22-p21,
,,,Zellweger syndrome-2
,,,
ABCG1,"ATP-binding cassette, sub-family G (WHITE), member 1 ",21q22.3,
,,,mutations
,,,
ABCG2,"ATP-binding cassette, sub-family G (WHITE), member 2 ",4q22,
,,,mutations
,,,
ABCG5,"ATP-binding cassette, sub-family G (WHITE), member 5 ",2p21,
,,,Sitosterolemia [MIM:210250]
,,,
ABCG8,"ATP-binding cassette, sub-family G (WHITE), member 8 ",2p21,
,,,Sitosterolemia [MIM:210250]
,,,Gallbladder disease 4 [MIM:611465]
,,,
ABHD12,abhydrolase domain containing 12 ,20p11.21,
,,,"Polyneuropathy, hearing loss, ataxia, retinitis pigmentosa, and cataract [MIM:612674]"
,,,
ABHD5,abhydrolase domain containing 5 ,3p21,
,,,Chanarin-Dorfman syndrome [MIM:275630]
,,,
ABI3BP,"ABI family, member 3 (NESH) binding protein ",3q12,
,,,mutations
,,,
ABL1,"c-abl oncogene 1, non-receptor tyrosine kinase ",9q34.1,
,,,"Leukemia, Philadelphia chromosome-positive, resistant to imatinib"
,,,
ABL2,v-abl Abelson murine leukemia viral oncogene homolog 2 ,1q24-q25,
,,,"Leukemia, acute myeloid, with eosinophilia"
,,,
ABO,"ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase) ",9q34,
,,,"Blood group, ABO system"
,,,
ABP1,amiloride binding protein 1 (amine oxidase (copper-containing)) ,7q31-q32,
,,,mutations
,,,
ACAA1,acetyl-CoA acyltransferase 1 ,3p23-p22,
,,,pseudo Zellweger syndrome with abundant peroxisomes and normal plasmalogen biosynthesis (ACAA deficiency)
,,,
ACACA,acetyl-CoA carboxylase alpha ,17q21,
,,,Acetyl-CoA carboxylase deficiency
,,,
ACACB,acetyl-CoA carboxylase beta ,12q24.1,
,,,mutations
,,,
ACAD8,"acyl-CoA dehydrogenase family, member 8 ",11q25,
,,,Isobutyryl-CoA dehydrogenase deficiency [MIM:611283]
,,,
ACAD9,"acyl-CoA dehydrogenase family, member 9 ",3q26,
,,,ACAD9 deficiency [MIM:611126]
,,,
ACADL,"acyl-CoA dehydrogenase, long chain ",2q34-q35,
,,,"Acyl-CoA dehydrogenase, long chain, deficiency of [MIM:201460]"
,,,
ACADM,"acyl-CoA dehydrogenase, C-4 to C-12 straight chain ",1p31,
,,,"Acyl-CoA dehydrogenase, medium chain, deficiency of [MIM:201450]"
,,,
ACADSB,"acyl-CoA dehydrogenase, short/branched chain ",10q25-q26,
,,,2-methylbutyrylglycinuria [MIM:610006]
,,,
ACADS,"acyl-CoA dehydrogenase, C-2 to C-3 short chain ",12q22-qter,
,,,"Acyl-CoA dehydrogenase, short-chain, deficiency of [MIM:201470]"
,,,
ACADVL,"acyl-CoA dehydrogenase, very long chain ",17p13,
,,,VLCAD deficiency [MIM:201475]
,,,
ACAN,aggrecan ,15q26.1,
,,,"Spondyloepiphyseal dysplasia, Kimberley type [MIM:608361]"
,,,"Spondyloepimetaphyseal dysplasia, aggrecan type [MIM:612813]"
,,,"Osteochondritis dissecans, short stature, and early-onset osteoarthritis [MIM:165800]"
,,,
ACAT1,acetyl-CoA acetyltransferase 1 ,11q22.3-q23.1,
,,,Alpha-methylacetoacetic aciduria [MIM:203750]
,,,
ACAT2,acetyl-CoA acetyltransferase 2 ,6q25.3-q26,
,,,ACAT2 deficiency
,,,
ACBD5,acyl-CoA binding domain containing 5 ,?,
,,,mutations
,,,
ACBD6,acyl-CoA binding domain containing 6 ,?,
,,,mutations
,,,
ACCS,1-aminocyclopropane-1-carboxylate synthase homolog (Arabidopsis)(non-functional) ,11p11,
