INDEX,Trial,DrugName,Indications,DrugClass,Approval_FDA,Uniprot,GeneSymbol,Gene,ProteinName,TargetMainClass,TargetClass,Target_Novelty_VALIDATED
1,3196,3196,anticholesterolaemic agent,Small molecule,not approved,P10828,THB_HUMAN,THRB,Thyroid hormone receptor beta OS=Homo sapiens GN=THRB PE=1 SV=2,Receptors,Nuclear receptor,Established target
2,"[(+)-phenserine tartrate,Posiphen",Posiphen,for treatment of Alzheimer's disease,small molecule,not approved,P05067,A4_HUMAN,APP,Amyloid beta A4 protein (ABPP) (APPI) (APP) (Alzheimer disease amyloid protein) (Cerebral vascular amyloid peptide) (CVAP) (PreA4) (Protease nexin-II) (PN-II) [Cleaved into: N-APP; Soluble APP-alpha (S-APP-alpha); Soluble APP-beta (S-APP-beta); C99; Beta-,Miscellaneous,Miscellaneous:Amyloid beta 4,Novel Target
2,"[(+)-phenserine tartrate,Posiphen",Posiphen,for treatment of Alzheimer's disease,small molecule,not approved,P56817,BACE1_HUMAN,BACE1,Beta-secretase 1,Enzymes,EC:3.4.23.46,Novel Target
3,"105AD7,Onyvax 105",Onyvax-105 (105AD7),antineoplastic agent,monoclonal antibody,not approved,P08174,DAF_HUMAN,CD55,Complement decay-accelerating factor (CD antigen CD55),Miscellaneous,Receptors of complement activation (RCA) family,Novel Target
4,"131I-81C6, Neuradiab",Neuradiab ,antineoplastic agent,monoclonal antibody,not approved,P24821,TENA_HUMAN,TNC,Tenascin (TN) (Cytotactin) (GMEM) (GP 150-225) (Glioma-associated-extracellular matrix antigen) (Hexabrachion) (JI) (Myotendinous antigen) (Neuronectin) (Tenascin-C) (TN-C),Miscellaneous,Miscellaneous;Extracellular matrix protein,Novel Target
5,"19063,Metabasis Therapeutics Inc/",MBO7133 (cytarabine prodrug),antineoplastic agent,Small molecule,not approved,P06746,DPOLB_HUMAN,POLB,DNA polymerase beta OS=Homo sapiens GN=POLB PE=1 SV=3,Enzymes,EC:2.7.7.7; 4.2.99.-,Established target
6,1D09C3,1D09C3,antineoplastic agent,monoclonal antibody,not approved,P01903,DRA_HUMAN,HLA-DRB3,"HLA class II histocompatibility antigen, DR alpha chain (MHC class II antigen DRA)",Miscellaneous,Ligand;MHC,Novel Target
6,1D09C3,1D09C3,antineoplastic agent,monoclonal antibody,not approved,P79483,DRB3_HUMAN,HLA-DRB4,"HLA class II histocompatibility antigen, DR beta 3 chain (MHC class II antigen DRB3)",Miscellaneous,StructuralAndAdhesion;MHC claas II,Novel Target
6,1D09C3,1D09C3,antineoplastic agent,monoclonal antibody,not approved,P13762,DRB4_HUMAN,HLA-DRB5,"HLA class II histocompatibility antigen, DR beta 4 chain (MHC class II antigen DRB4)",Miscellaneous,StructuralAndAdhesion;MHC claas II,Novel Target
7,4SC-202,4SC-202,antineoplastic agent,Small molecule,not approved,Q13547,HDAC1_HUMAN,HDAC1,Histone deacetylase 1 OS=Homo sapiens GN=HDAC1 PE=1 SV=1,Enzymes,EC:3.5.1.98,Established target
