#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	prediction	combined_score
RAC1	IQGAP2	1853302	1846379	9606.ENSP00000348461	9606.ENSP00000274364	0	0	0	0	0	0.909	0.8	0.952	0	0.999
RPS3	RPS26	1861952	1853363	9606.ENSP00000433821	9606.ENSP00000348849	0	0	0	0	0.956	0.995	0.9	0.736	0	0.999
FAU	RPS16	1861888	1844060	9606.ENSP00000431822	9606.ENSP00000251453	0	0	0	0	0.975	0.999	0.9	0.465	0	0.999
IRS2	INSR	1856394	1848574	9606.ENSP00000365016	9606.ENSP00000303830	0	0	0	0	0	0.989	0.9	0.958	0	0.999
FAU	RPS26	1861888	1853363	9606.ENSP00000431822	9606.ENSP00000348849	0	0	0	0	0.948	0.999	0.9	0.311	0	0.999
SMAD3	FOS	1851536	1848822	9606.ENSP00000332973	9606.ENSP00000306245	0	0	0	0	0	0.812	0.9	0.962	0	0.999
RPS28	RPS13	1864786	1862013	9606.ENSP00000472469	9606.ENSP00000435777	0	0	0	0	0.975	0.999	0.9	0.326	0	0.999
RPS24	RPS6	1861076	1857216	9606.ENSP00000414321	9606.ENSP00000369757	0.129	0	0	0	0.674	0.999	0.9	0.388	0	0.999
RPS13	RPS12	1862013	1843234	9606.ENSP00000435777	9606.ENSP00000230050	0.277	0	0	0	0.975	0.999	0.9	0.635	0	0.999
PTK2	PXN	1852426	1843137	9606.ENSP00000341189	9606.ENSP00000228307	0	0	0	0	0	0.999	0.9	0.994	0	0.999
RPS2	RPS16	1852518	1844060	9606.ENSP00000341885	9606.ENSP00000251453	0.281	0	0	0	0.94	0.999	0.9	0.656	0	0.999
JUN	SMAD3	1855436	1851536	9606.ENSP00000360266	9606.ENSP00000332973	0	0	0	0	0	0.983	0.9	0.96	0	0.999
CTNNB1	AKT1	1852818	1846136	9606.ENSP00000344456	9606.ENSP00000270202	0	0	0	0	0	0.574	0.9	0.988	0	0.999
RPS20	RPS3A	1861789	1853009	9606.ENSP00000429374	9606.ENSP00000346050	0	0	0	0	0.952	0.999	0.9	0.574	0	0.999
MAPK9	JUN	1859420	1855436	9606.ENSP00000389338	9606.ENSP00000360266	0	0	0	0	0	0.999	0.9	0.993	0	0.999
RPS24	RPS15A	1861076	1850066	9606.ENSP00000414321	9606.ENSP00000318646	0	0	0	0	0.56	0.999	0.9	0.357	0	0.999
RPS28	RPS7	1864786	1852173	9606.ENSP00000472469	9606.ENSP00000339095	0	0	0	0	0.897	0.997	0.9	0.438	0	0.999
PSMA1	PSMB2	1861079	1855861	9606.ENSP00000414359	9606.ENSP00000362334	0	0	0	0	0.975	0.999	0.9	0.684	0	0.999
SOS1	EGFR	1858968	1846445	9606.ENSP00000384675	9606.ENSP00000275493	0	0	0	0	0	0.995	0.9	0.687	0	0.999
PSMB7	PSMA4	1844696	1842214	9606.ENSP00000259457	9606.ENSP00000044462	0	0	0	0	0.738	0.999	0.9	0.488	0	0.999
RPS19	RPS6	1864285	1857216	9606.ENSP00000470004	9606.ENSP00000369757	0	0	0	0	0.956	0.998	0.9	0.609	0	0.999
MAPK8	BCL2	1853988	1851168	9606.ENSP00000353483	9606.ENSP00000329623	0	0	0	0	0	0.808	0.9	0.983	0	0.999
TNK2	GRB2	1857453	1852164	9606.ENSP00000371341	9606.ENSP00000339007	0	0	0	0	0	0.997	0.72	0.725	0	0.999
GSK3B	SNAI1	1850681	1843697	9606.ENSP00000324806	9606.ENSP00000244050	0	0	0	0	0	0.992	0	0.9	0	0.999
PSMB10	PSMB4	1853696	1847239	9606.ENSP00000351314	9606.ENSP00000290541	0	0	0	0	0.738	0.998	0.9	0.604	0	0.999
RPS20	RPS29	1861789	1858354	9606.ENSP00000429374	9606.ENSP00000379339	0.462	0	0	0	0.932	0.997	0.9	0.663	0	0.999
RPS2	RPS15A	1852518	1850066	9606.ENSP00000341885	9606.ENSP00000318646	0.462	0	0	0	0.971	0.999	0.9	0.558	0	0.999
GRB2	IRS1	1852164	1848682	9606.ENSP00000339007	9606.ENSP00000304895	0	0	0	0	0	0.993	0.9	0.99	0	0.999
RPS28	RPS19	1864786	1864285	9606.ENSP00000472469	9606.ENSP00000470004	0	0	0	0	0.939	0.999	0.9	0.505	0	0.999
RPS3	RPS20	1861952	1861789	9606.ENSP00000433821	9606.ENSP00000429374	0.462	0	0	0	0.975	0.999	0.9	0.735	0	0.999
HC3	PSMB4	1862989	1847239	9606.ENSP00000455744	9606.ENSP00000290541	0	0	0	0	0.898	0.999	0.72	0.714	0	0.999
HC3	PSMB3	1862989	1843022	9606.ENSP00000455744	9606.ENSP00000225426	0	0	0	0	0.939	0.999	0.72	0.664	0	0.999
FAU	RPS5	1861888	1842374	9606.ENSP00000431822	9606.ENSP00000196551	0	0	0	0	0.974	0.995	0.9	0.24	0	0.999
FAU	RPS2	1861888	1852518	9606.ENSP00000431822	9606.ENSP00000341885	0	0	0	0	0.888	0.999	0.9	0.195	0	0.999
RPS8	RPS4X	1858412	1855955	9606.ENSP00000379888	9606.ENSP00000362744	0	0	0	0	0.974	0.999	0.9	0.59	0	0.999
EXOSC4	EXOSC5	1849789	1842821	9606.ENSP00000315476	9606.ENSP00000221233	0	0	0.503	0.741	0.288	0.999	0.9	0.936	0	0.999
RPS13	RPS29	1862013	1858354	9606.ENSP00000435777	9606.ENSP00000379339	0	0	0	0	0.94	0.997	0.9	0.544	0	0.999
PSMA5	PSMA2	1846187	1842974	9606.ENSP00000271308	9606.ENSP00000223321	0	0	0.448	0.854	0.935	0.999	0.9	0.885	0	0.999
RPS3A	RPS15A	1853009	1850066	9606.ENSP00000346050	9606.ENSP00000318646	0	0	0	0	0.939	0.999	0.9	0.582	0	0.999
RPS15	RPS3A	1863987	1853009	9606.ENSP00000467676	9606.ENSP00000346050	0	0	0	0	0.975	0.997	0.9	0.53	0	0.999
SOD2	SOD1	1854504	1846132	9606.ENSP00000356022	9606.ENSP00000270142	0	0	0	0	0.227	0.981	0.9	0.805	0	0.999
CDK4	CDC37	1844551	1842879	9606.ENSP00000257904	9606.ENSP00000222005	0	0	0	0	0	0.997	0	0.965	0	0.999
EGFR	CDH1	1846445	1844988	9606.ENSP00000275493	9606.ENSP00000261769	0	0	0	0	0	0.939	0.9	0.96	0	0.999
RPS28	RPS16	1864786	1844060	9606.ENSP00000472469	9606.ENSP00000251453	0	0	0	0	0.975	0.999	0.9	0.563	0	0.999
RRM1	RRM2B	1848209	1844085	9606.ENSP00000300738	9606.ENSP00000251810	0.462	0	0.526	0	0.822	0.99	0.9	0.972	0	0.999
RPS6	RPS4X	1857216	1855955	9606.ENSP00000369757	9606.ENSP00000362744	0	0	0	0	0.975	0.999	0.9	0.531	0	0.999
RPS13	RPS2	1862013	1852518	9606.ENSP00000435777	9606.ENSP00000341885	0	0	0	0	0.973	0.999	0.9	0.662	0	0.999
PSMB1	PSMB3	1845087	1843022	9606.ENSP00000262193	9606.ENSP00000225426	0	0	0.206	0.758	0.975	0.999	0.9	0.668	0	0.999
ACTR2	ARPC1B	1856793	1844155	9606.ENSP00000367220	9606.ENSP00000252725	0	0	0	0	0	0.999	0.9	0.924	0	0.999
RPS19	RPS14	1864285	1849373	9606.ENSP00000470004	9606.ENSP00000311028	0	0	0	0	0.975	0.999	0.9	0.805	0	0.999
KRAS	RAF1	1844404	1844086	9606.ENSP00000256078	9606.ENSP00000251849	0	0	0	0	0	0.999	0.9	0.993	0	0.999
CDKN1A	CCND1	1843736	1843117	9606.ENSP00000244741	9606.ENSP00000227507	0	0	0	0	0	0.999	0.9	0.974	0	0.999
SRC	EGFR	1853652	1846445	9606.ENSP00000350941	9606.ENSP00000275493	0	0	0	0.703	0	0.999	0.9	0.993	0	0.999
CTNNB1	CCND1	1852818	1843117	9606.ENSP00000344456	9606.ENSP00000227507	0	0	0	0	0	0.809	0.9	0.963	0	0.999
HRAS	BRAF	1849235	1847131	9606.ENSP00000309845	9606.ENSP00000288602	0	0	0	0	0	0.984	0.9	0.881	0	0.999
